date,energy
2018-05-18,170735
2018-05-19,132023
2018-05-20,110677
2018-05-21,110895
2018-05-22,163699
2018-05-23,168934
2018-05-24,169923
2018-05-25,165134
2018-05-26,131168
2018-05-27,115430
2018-05-28,170517
2018-05-29,175327
2018-05-30,169792
2018-05-31,126572
2018-06-01,144611
2018-06-02,127865
2018-06-03,116131
2018-06-04,173602
2018-06-05,183391
2018-06-06,185484
2018-06-07,180891
2018-06-08,179573
2018-06-09,140200
2018-06-10,122041
2018-06-11,180427
2018-06-12,183297
2018-06-13,180048
2018-06-14,176026
2018-06-15,170357
2018-06-16,135189
2018-06-17,119392
2018-06-18,172198
2018-06-19,180049
2018-06-20,182648
2018-06-21,182984
2018-06-22,172690
2018-06-23,135386
2018-06-24,116861
2018-06-25,172312
2018-06-26,181163
2018-06-27,179584
2018-06-28,178051
2018-06-29,177831
2018-06-30,146701
2018-07-01,129213
2018-07-02,180783
2018-07-03,185112
2018-07-04,183526
2018-07-05,183201
2018-07-06,179227
2018-07-07,137862
2018-07-08,119500
2018-07-09,175378
2018-07-10,179712
2018-07-11,177878
2018-07-12,176321
2018-07-13,176369
2018-07-14,139777
2018-07-15,122918
2018-07-16,175164
2018-07-17,182768
2018-07-18,182190
2018-07-19,179597
2018-07-20,179264
2018-07-21,140395
2018-07-22,122651
2018-07-23,175018
2018-07-24,182553
2018-07-25,184927
2018-07-26,184368
2018-07-27,179094
2018-07-28,142529
2018-07-29,123996
2018-07-30,177708
2018-07-31,184985
2018-08-01,184313
2018-08-02,180680
2018-08-03,177614
2018-08-04,144731
2018-08-05,127087
2018-08-06,172200
2018-08-07,180015
2018-08-08,176320
2018-08-09,171896
2018-08-10,162429
2018-08-11,130937
2018-08-12,115706
2018-08-13,162445
2018-08-14,165302
2018-08-15,163520
2018-08-16,163903
2018-08-17,165345
2018-08-18,134543
2018-08-19,120382
2018-08-20,167523
2018-08-21,173897
2018-08-22,176594
2018-08-23,177707
2018-08-24,171022
2018-08-25,133229
2018-08-26,115058
2018-08-27,166242
2018-08-28,171532
2018-08-29,174708
2018-08-30,174797
2018-08-31,172517
2018-09-01,131799
2018-09-02,118924
2018-09-03,170638
2018-09-04,174883
2018-09-05,174669
2018-09-06,175595
2018-09-07,172749
2018-09-08,134642
2018-09-09,119320
2018-09-10,172774
2018-09-11,179020
2018-09-12,179691
2018-09-13,177698
2018-09-14,170791
2018-09-15,131423
2018-09-16,115879
2018-09-17,171463
2018-09-18,180899
2018-09-19,179269
2018-09-20,179184
2018-09-21,178435
2018-09-22,136657
2018-09-23,123970
2018-09-24,171142
2018-09-25,176665
2018-09-26,179122
2018-09-27,178574
2018-09-28,175506
2018-09-29,137475
2018-09-30,122827
2018-10-01,176058
2018-10-02,180127
2018-10-03,137701
2018-10-04,171275
2018-10-05,175193
2018-10-06,143186
2018-10-07,125952
2018-10-08,178966
2018-10-09,184151
2018-10-10,182556
2018-10-11,181939
