datum,verbrauch,wochentag,feiertag,arbeitstag
2016-10-05,189821,Mittwoch,,1
2016-10-06,190260,Donnerstag,,1
2016-10-07,186832,Freitag,,1
2016-10-08,150981,Samstag,,0
2016-10-09,133487,Sonntag,,0
2016-10-10,188192,Montag,,1
2016-10-11,193722,Dienstag,,1
2016-10-12,190800,Mittwoch,,1
2016-10-13,193528,Donnerstag,,1
2016-10-14,191625,Freitag,,1
2016-10-15,148876,Samstag,,0
2016-10-16,129953,Sonntag,,0
2016-10-17,186779,Montag,,1
2016-10-18,191576,Dienstag,,1
2016-10-19,194645,Mittwoch,,1
2016-10-20,193595,Donnerstag,,1
2016-10-21,188917,Freitag,,1
2016-10-22,150866,Samstag,,0
2016-10-23,136982,Sonntag,,0
2016-10-24,190650,Montag,,1
2016-10-25,193087,Dienstag,,1
2016-10-26,193753,Mittwoch,,1
2016-10-27,189399,Donnerstag,,1
2016-10-28,189083,Freitag,,1
2016-10-29,149568,Samstag,,0
2016-10-30,134738,Sonntag,,0
2016-10-31,160540,Montag,,1
2016-11-01,137292,Dienstag,Allerheiligen,0
2016-11-02,199447,Mittwoch,,1
2016-11-03,231190,Donnerstag,,1
2016-11-04,191779,Freitag,,1
2016-11-05,157139,Samstag,,0
2016-11-06,140096,Sonntag,,0
2016-11-07,195444,Montag,,1
2016-11-08,205448,Dienstag,,1
2016-11-09,203969,Mittwoch,,1
2016-11-10,199972,Donnerstag,,1
2016-11-11,202566,Freitag,,1
2016-11-12,157860,Samstag,,0
2016-11-13,140045,Sonntag,,0
2016-11-14,187526,Montag,,1
2016-11-15,199929,Dienstag,,1
2016-11-16,203436,Mittwoch,,1
2016-11-17,197916,Donnerstag,,1
2016-11-18,197786,Freitag,,1
2016-11-19,159229,Samstag,,0
2016-11-20,139699,Sonntag,,0
2016-11-21,197590,Montag,,1
2016-11-22,201151,Dienstag,,1
2016-11-23,199838,Mittwoch,,1
2016-11-24,200916,Donnerstag,,1
2016-11-25,197517,Freitag,,1
2016-11-26,159017,Samstag,,0
2016-11-27,141398,Sonntag,,0
2016-11-28,198762,Montag,,1
2016-11-29,207604,Dienstag,,1
2016-11-30,209020,Mittwoch,,1
2016-12-01,205571,Donnerstag,,1
2016-12-02,203514,Freitag,,1
2016-12-03,165273,Samstag,,0
2016-12-04,154523,Sonntag,,0
2016-12-05,205299,Montag,,1
2016-12-06,212411,Dienstag,,1
2016-12-07,214143,Mittwoch,,1
2016-12-08,209898,Donnerstag,,1
2016-12-09,204836,Freitag,,1
2016-12-10,163501,Samstag,,0
2016-12-11,150417,Sonntag,,0
2016-12-12,200005,Montag,,1
2016-12-13,207710,Dienstag,,1
2016-12-14,203432,Mittwoch,,1
2016-12-15,203294,Donnerstag,,1
2016-12-16,198552,Freitag,,1
2016-12-17,164332,Samstag,,0
2016-12-18,149118,Sonntag,,0
2016-12-19,197223,Montag,,1
2016-12-20,201807,Dienstag,,1
2016-12-21,197325,Mittwoch,,1
2016-12-22,186393,Donnerstag,,1
2016-12-23,167059,Freitag,,1
2016-12-24,134957,Samstag,,0
2016-12-25,122211,Sonntag,Erster Weihnachtsfeiertag,0
2016-12-26,122559,Montag,Zweiter Weihnachtsfeiertag,0
2016-12-27,148923,Dienstag,,1
