datum,wochentag,feiertag,arbeitstag
2017-03-08,Mittwoch,,1
2017-03-09,Donnerstag,,1
2017-03-10,Freitag,,1
2017-03-11,Samstag,,0
2017-03-12,Sonntag,,0
2017-03-13,Montag,,1
2017-03-14,Dienstag,,1
2017-03-15,Mittwoch,,1
2017-03-16,Donnerstag,,1
2017-03-17,Freitag,,1
2017-03-18,Samstag,,0
2017-03-19,Sonntag,,0
2017-03-20,Montag,,1
2017-03-21,Dienstag,,1
2017-03-22,Mittwoch,,1
2017-03-23,Donnerstag,,1
2017-03-24,Freitag,,1
2017-03-25,Samstag,,0
2017-03-26,Sonntag,,0
2017-03-27,Montag,,1
2017-03-28,Dienstag,,1
2017-03-29,Mittwoch,,1
2017-03-30,Donnerstag,,1
2017-03-31,Freitag,,1
2017-04-01,Samstag,,0
2017-04-02,Sonntag,,0
2017-04-03,Montag,,1
2017-04-04,Dienstag,,1
2017-04-05,Mittwoch,,1
2017-04-06,Donnerstag,,1
2017-04-07,Freitag,,1
2017-04-08,Samstag,,0
2017-04-09,Sonntag,,0
2017-04-10,Montag,,1
2017-04-11,Dienstag,,1
2017-04-12,Mittwoch,,1
2017-04-13,Donnerstag,,1
2017-04-14,Freitag,Karfreitag,0
2017-04-15,Samstag,,0
2017-04-16,Sonntag,,0
2017-04-17,Montag,Ostermontag,0
2017-04-18,Dienstag,,1
2017-04-19,Mittwoch,,1
2017-04-20,Donnerstag,,1
2017-04-21,Freitag,,1
2017-04-22,Samstag,,0
2017-04-23,Sonntag,,0
2017-04-24,Montag,,1
2017-04-25,Dienstag,,1
2017-04-26,Mittwoch,,1
2017-04-27,Donnerstag,,1
2017-04-28,Freitag,,1
2017-04-29,Samstag,,0
2017-04-30,Sonntag,,0
2017-05-01,Montag,Erster Mai,0
2017-05-02,Dienstag,,1
2017-05-03,Mittwoch,,1
2017-05-04,Donnerstag,,1
2017-05-05,Freitag,,1
2017-05-06,Samstag,,0
2017-05-07,Sonntag,,0
2017-05-08,Montag,,1
2017-05-09,Dienstag,,1
2017-05-10,Mittwoch,,1
2017-05-11,Donnerstag,,1
2017-05-12,Freitag,,1
2017-05-13,Samstag,,0
2017-05-14,Sonntag,,0
2017-05-15,Montag,,1
